ID,Local,Supermarket,Online
1,28.000497166666428,15.277933833333321,23.003190999999504
2,31.024675599999313,29.781191933333332,36.03148241666595
3,18.010205866666652,9.392425933333342,15.006406999999733
4,27.01487366666639,30.080686416666694,31.017107333333378
5,16.026976599999585,0.0,3.210825099999994
6,22.198187199999744,15.00960840000009,19.012972400000052
7,20.033718799999768,24.003016500000072,20.015660733333384
8,24.022784597777594,19.002895733333347,17.01992427555558
9,19.01398715444421,12.006942730000134,18.039715991110583
10,17.017303999999932,9.479664,22.032364266666498
